Unnamed: 0,DienTich(m²),Phongngu,SoTang,PhongTam,Loai,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,Gia(Triệu),Duong,Phuong,Quan,ThanhPho,Gia_m²(Triệu)
39,73.0,2,0.0,2, Chung cư,Không có nội thất,,,3700.0,Đường Mai Chí Thọ,An Phú,2,Tp Hồ Chí Minh,50.68
40,79.0,2,0.0,2, Chung cư,Không có nội thất,,,1800.0,196,4,8,Tp Hồ Chí Minh,22.78
41,51.0,2,0.0,2, Chung cư,Không có nội thất,,,1750.0,Đường số 1,Trường Thọ,Thủ Đức,Tp Hồ Chí Minh,34.31
42,62.0,2,6.0,2, Chung cư,Không có nội thất, Tây Bắc, Đông Nam,1930.0,Đường Tô Ngọc Vân,Tam Bình,Thủ Đức,Tp Hồ Chí Minh,31.13
43,75.0,2,12.0,2, Chung cư,Không có nội thất, Nam, Bắc,2610.0,Đường Nguyễn Văn Linh,,,Tp Hồ Chí Minh,34.8
44,62.0,2,0.0,2, Chung cư,Không có nội thất,,,1980.0,Đường Liên Phường,Phước Long B,9,Tp Hồ Chí Minh,31.94
45,56.0,2,0.0,0, Chung cư,Không có nội thất,,,2000.0,,,,,35.71
46,75.8,2,0.0,2, Chung cư,Không có nội thất,,,4270.0,Đường Mai Chí Thọ,An Phú,2,Tp Hồ Chí Minh,56.33
47,49.0,1,0.0,1, Officetel, Nội thất cao cấp, Tây, Đông,1970.0,Đường Bế Văn Cấm,Tân Kiểng,7,Tp Hồ Chí Minh,40.2
48,40.0,1,0.0,1, Chung cư, Hoàn thiện cơ bản,,,470.0,Đường Phan Văn Hớn,Tân Thới Nhất,12,Tp Hồ Chí Minh,11.75
49,90.0,2,8.0,2, Chung cư,Không có nội thất,,,4400.0,Số 584,Tân Phú,7,Tp Hồ Chí Minh,48.89
50,85.0,3,15.0,2, Chung cư, Hoàn thiện cơ bản, Nam, Bắc,4900.0,119,9,Phú Nhuận,Tp Hồ Chí Minh,57.65
51,83.0,2,0.0,2, Chung cư, Nội thất cao cấp, Tây Bắc,,2950.0,Đường Hậu Giang,11,6,Tp Hồ Chí Minh,35.54
52,65.0,2,0.0,1, Chung cư,Không có nội thất,, Đông,1800.0,Đường Nguyễn Văn Linh,6,8,Tp Hồ Chí Minh,27.69
53,62.0,2,0.0,2, Chung cư,Không có nội thất,,,2000.0,Đường Nguyễn Văn Quỳ,Phú Thuận,7,Tp Hồ Chí Minh,32.26
54,73.6,2,20.0,2, Chung cư, Nội thất cao cấp, Đông Bắc, Tây Nam,3850.0,Đường Phú Thuận,Tân Phú,7,Tp Hồ Chí Minh,52.31
55,87.0,2,28.0,2, Chung cư, Nội thất đầy đủ, Tây Bắc, Đông Nam,6500.0,200 đường 3 tháng 2,12,10,Tp Hồ Chí Minh,74.71
56,49.0,1,0.0,1, Chung cư, Nội thất cao cấp,,,2980.0,208,22,Bình Thạnh,Tp Hồ Chí Minh,60.82
57,78.0,2,0.0,2, Chung cư,Không có nội thất,,,2080.0,196,4,8,Tp Hồ Chí Minh,26.67
58,45.0,2,0.0,2, Chung cư,Không có nội thất, Tây Bắc,,3100.0,Đường Cư xá Thanh Đa,27,Bình Thạnh,Tp Hồ Chí Minh,68.89
59,87.0,3,0.0,3, Chung cư,Không có nội thất,,,3750.0,Số 207,26,Bình Thạnh,Tp Hồ Chí Minh,43.1
60,38.0,1,0.0,1, Chung cư,Không có nội thất,,,1500.0,Số 207,26,Bình Thạnh,Tp Hồ Chí Minh,39.47
61,79.25,2,0.0,2, Chung cư, Nội thất đầy đủ,,,4600.0,146,8,Phú Nhuận,Tp Hồ Chí Minh,58.04
62,75.0,2,0.0,2, Chung cư,Không có nội thất,,,2500.0,Đường Võ Văn Kiệt,An Lạc,Bình Tân,Tp Hồ Chí Minh,33.33
